,<CONFIDENTIAL>,,,,,,,,,,,,
Normalized Fluorescence signal from 1000-1200 nm,,,,,,Maximum emission cross section,,,,,,,
,LG-770,LG-760,LG-750,APG-1,,LG-770,LG-760,LG-750,APG-1,,,,Prepared by Dr. Tedi-Marie Usher-Ditzian
Wavelength,Normalized,Normalized,Normalized,Normalized,,_em ,_em ,_em ,_em ,,,,SCHOTT R&D North America
l [nm],"Signal, FC(l)","Signal, FC(l)","Signal, FC(l)","Signal, FC(l)",,[10-20 cm2],[10-20 cm2],[10-20 cm2],[10-20 cm2],,,,"Oct 4th, 2021"
1023.875,0.008329003,0.005291653,0.002998824,0.008505935,,,,,,,,,
1024,0.007705158,0.002531075,0.003657618,0.009990804,,,,,,,,,
1024.125,0.003343148,0.00308056,0.008276539,0.012215224,,,,,,,,,
1024.25,0.008326551,0.006388431,0.002995142,0.006275396,,,,,,,,,
1024.375,0.006456651,0.004731208,0.006954042,0.007757833,,,,,,,,,
1024.5,0.005832806,0.006384046,0.007612835,0.009984686,,,,,,,,,
1024.625,0.009570151,0.005278499,0.005631544,0.012209105,,,,,,,,,
1024.75,0.008323282,0.004172953,0.010250466,0.01072361,,,,,,,,,
1024.875,0.008945492,0.005274115,0.008269175,0.008493698,,,,,,,,,
1025,0.010813757,0.005823599,0.008267947,0.013690916,,,,,,,,,
1025.125,0.007074775,0.005821406,0.009586763,0.009977038,,,,,,,,,
1025.25,0.010812123,0.007474247,0.003645344,0.013687856,,,,,,,,,
1025.375,0.008319196,0.005817022,0.007604244,0.01442831,,,,,,,,,
1025.5,0.008318379,0.00802154,0.007603017,0.01442678,,,,,,,,,
1025.625,0.008317562,0.004709286,0.006941768,0.014425251,,,,,,,,,
1025.75,0.013300963,0.004155415,0.010240647,0.012937322,,,,,,,,,
1025.875,0.012677118,0.007463286,0.008259356,0.011451826,,,,,,,,,
1026,0.012053274,0.009116125,0.007598107,0.012934263,,,,,,,,,
1026.125,0.009560344,0.008562256,0.00759688,0.017389498,,,,,,,,,
1026.25,0.008313475,0.009111741,0.009575717,0.016643552,,,,,,,,,
1026.375,0.00955871,0.010212903,0.011554552,0.011445708,,,,,,,,,
1026.5,0.009557893,0.00855568,0.015513449,0.016640493,,,,,,,,,
1026.625,0.005818913,0.009656839,0.012212119,0.014413014,,,,,,,,,
1026.75,0.010179288,0.00744794,0.015510994,0.014411484,,,,,,,,,
1026.875,0.008309389,0.00910078,0.013529707,0.016635904,,,,,,,,,
1027,0.013915815,0.009098587,0.014848522,0.018862756,,,,,,,,,
1027.125,0.010176836,0.01019975,0.012867234,0.018119244,,,,,,,,,
1027.25,0.012045102,0.010749235,0.017486154,0.016631315,,,,,,,,,
1027.375,0.012667311,0.012953751,0.016824903,0.018858168,,,,,,,,,
1027.5,0.00892833,0.010193173,0.012203527,0.021082587,,,,,,,,,
1027.625,0.012665677,0.011294338,0.015502403,0.022567457,,,,,,,,,
1027.75,0.010795778,0.010188788,0.018141264,0.02553386,,,,,,,,,
1027.875,0.013910094,0.015151693,0.020780121,0.019594032,,,,,,,,,
1028,0.013909277,0.013494464,0.018138809,0.01885052,,,,,,,,,
1028.125,0.017646628,0.01238892,0.017477562,0.024045305,,,,,,,,,
1028.25,0.017645811,0.012938405,0.014836248,0.02107341,,,,,,,,,
1028.375,0.013283801,0.011281184,0.014835021,0.021816296,,,,,,,,,
1028.5,0.017021148,0.012382344,0.012193709,0.024782699,,,,,,,,,
